account,token,total_internal
0xb3b454c4b4a73ccdd5c79c8e0e4e703b478e872d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,306738084289925
0xaf28e2a58ef2d6d88fb4cdc28f380908bade162b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,913721
0xbad4b03a764fb27cdf65d23e2e59b76172526867,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,427781
0xb78003fcb54444e289969154a27ca3106b3f41f6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,721126
0x1477bbce213f0b37b05e3ba0238f45d658d9f8b1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,843588
0x48e39dfd0450601cb29f74cb43fc913a57fca813,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,212416
0x8d9261369e3bfba715f63303236c324d2e3c44ec,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4652374829510626
0xb1f0e758951a02b24d04dd211d0424445ae04c5c,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,114200
0xcf0dcc80f6e15604e258138cca455a040ecb4605,0xdac17f958d2ee523a2206206994597c13d831ec7,8040
0x15d6d330f374a796210efc1445f1f3ea07a0b1ef,0xdac17f958d2ee523a2206206994597c13d831ec7,674340
0xf6aaada76ea7f044ffa028565b028740dce5389f,0xdac17f958d2ee523a2206206994597c13d831ec7,4
0x44db0002349036164dd46a04327201eb7698a53e,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,51526644
0x617e336ff734097adddf9fc9af09a5a7690fa091,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,42834759
0x19c5bad4354e9a78a1ca0235af29b9eacf54ff2b,0xdac17f958d2ee523a2206206994597c13d831ec7,295625
0x404a75f728d7e89197c61c284d782ec246425aa6,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,2101267983958729064
0x9c529180015f78e13288831a2cf06da2e9304271,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,338731278
0x93c950e36f3c155b2141f1516b7ea5b6d15ed981,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,523
0x334f12f269213371fb59b328bb6e182c875e04b2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,438792308164754
0x58e4e9d30da309624c785069a99709b16276b196,0xdac17f958d2ee523a2206206994597c13d831ec7,5014427
0x576a4d006543d7ba103933d6dbd1e3cdf86e22d3,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,17447594
0x11d86e9f9c2a1cf597b974e50c660316c92215aa,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,676253
0x9dc4d973f76c0051bba8900f8ffb4652110f1591,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,456737
0xd15b5fa5370f0c3cc068f107b7691e6dab678799,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,254197
0x679b4172e1698579d562d1d8b4774968305b80b2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,226716
0xd03c52b3256b5e102ce4bf6bb53d4be9d9963838,0xdac17f958d2ee523a2206206994597c13d831ec7,23
0xfb8a7286faba378a15f321cd82425b6b5e855b27,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,415681478
0x642c9e3d3f649f9fccb9f28707a0260ba1e156b1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,954535
0x87c5e5413d60e1419fd70b17c6d299aa107efb49,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,4083000000
0xfc748762f301229bcea219b584fdf8423d8060a1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1893822
0x854e4406b9c2cfdc36a8992f1718e09e5f0d2371,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,119
0xa24e91f2684a69ffe0a10a5cc384f9e0b163dd8b,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8994157
0xd3c1e750b5664170f4af828145295b678bafd460,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,668488
0xa5a8ac5d57a2831db4fb5c7988a88af25eb34191,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,19623324
0x87d5ecbfc46e3b17b50b3ed69d97f0ec7d663b45,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,1214290
0x340bc7511e4e6c1cdd9dcd8f02827fd08edc6fb2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,708531
0xf3dfdaf97ebda5556fce939c4cf1cb1436138072,0xdac17f958d2ee523a2206206994597c13d831ec7,343378
0xd441c97ef1458d847271f91714799007081494ef,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1054460287592864
0x23ed1e6384705dfd23788d5093266c0d9ebe3fae,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,408521373
0x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,4102516079246610902
0x234831d4cff3b7027e0424e23f019657005635e1,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,5787716
0x6d4ed8a1599dee2655d51b245f786293e03d58f7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,391482
0xeb8942fa2a8cd0f2ff9f1b059f94de01a05d5ce7,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,2888550
0x7d50bfead43d4fdd47a8a61f32305b2de21068bd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,281417444319406
0xf679a24bbf27c79db5148a4908488fa01ed51625,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,6394083298607243
0xa1a234791392c42bd0c95e37e6908ae704d595bd,0xdac17f958d2ee523a2206206994597c13d831ec7,6358
0xe27bdf8c099934f425a1c604dfc9a82c3b3dd458,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,193467
0xdf29ee8f6d1b407808eb0270f5b128dc28303684,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,919766
0x0a53d9586dd052a06fca7649a02b973cc164c1b4,0xdac17f958d2ee523a2206206994597c13d831ec7,559901
0x7e946603f26b7f46fdb0d106124db35bf14fcdb8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,150306438028748
0x4ec2dcdfb3c165da62dd1367cb42fe7551524984,0xdac17f958d2ee523a2206206994597c13d831ec7,120660
0x2303fd39e04cf4d6471df5ee945bd0e2cfb6c7a2,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,384120000
0x49072cd3bf4153da87d5eb30719bb32bda60884b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,284690
0x521415eec0f5bec71704aaaf9ae0afe70323ffab,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,11848442131
0xab9497de5d2d768ca9d65c4efb19b538927f6732,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,420319
0xf7d48932f456e98d2ff824e38830e8f59de13f4a,0xdac17f958d2ee523a2206206994597c13d831ec7,1259176
0xcdea6a23b9383a88e246975ad3f38778ee0e81fc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,166725
0x31deae0ddc9f0d0207d13fc56927f067f493d324,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,29792
0x1f3236f64cb6878f164e3a281c2a9393e19a6d00,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,101222200
0x48a5a6a01ba89cddf97d2d552923d5a11401ed19,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,360155
0xff6bdfc378be9bb2fcd8b081aa15f2bdaeb0f441,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1846363468268987
0xab282590375f4ce7d3ffed3a0d0e36cc5f9ff124,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,654933466
0xf7cca800424e518728f88d7fc3b67ed6dfa0693c,0xdac17f958d2ee523a2206206994597c13d831ec7,182867
0x9c695f16975b57f730727f30f399d110cfc71f10,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,35167085439
0x1c4e440e9f9069427d11bb1bd73e57458eea9577,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,776361
0x86dcc2325b1c9d6d63d59b35ebab90607ead7c6c,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,1094
0xc38f042ae8c77f110c33eabfaa5ed28861760ac6,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,18131500
0x3800645f556ee583e20d6491c3a60e9c32744376,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,209616259
0x58e4e9d30da309624c785069a99709b16276b196,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,950677
0x6f77e3a2c7819c5dcf0b1f0d53264b65c4cb7c5a,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,134440000
0xdb599daa6d9afb1f911a29bbfccedbb8e51c9b0c,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,23298
0x3d4fcd5e5fcb60fca9dd4c5144aa970865325803,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,294773
0xf3e9848d5acce2f83b8078ee21f458e59ec4289a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8073845
0x295efa47f527b30b45e51e6f5b4f4b88cf77ca17,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1306893
0x95d1c6ecb2951e3111333c987f8a0d939a9b7b09,0xdac17f958d2ee523a2206206994597c13d831ec7,958
0x66801cc7ab6791afb179cc94cbbd268cfbfcbc7b,0xdac17f958d2ee523a2206206994597c13d831ec7,376
0x434252f52ce25da0e64f0c38ebc65258aabb2844,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,682087
0x15d6d330f374a796210efc1445f1f3ea07a0b1ef,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,555905
0xfe42972c584e442c3f0a49cb2930e55d5bf13ba7,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,71541640
0x91443af8b0b551ba45208f03d32b22029969576c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,796481
0x144e8fe2e2052b7b6556790a06f001b56ba033b3,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,245809878
0xa92ab746eac03e5ec31cd3a879014a7d1e04640c,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,214955916
0xe182f132b7ab8639c3b2faeba87f4c952b4b2319,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,266
0x66b0115e839b954a6f6d8371dee89de90111c232,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,84596244
0xaf812e8babab3173edce179fe6fc6c2b1c482e39,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10996566328115645
0x26078aa092208d0a93a9c564a24619b9fbd105ff,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,103877
0x3c58492ad9cad0d9f8570a80b6a1f02c0c1da2c5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,156108
0x9662c8e686fe84f468a139b10769d65665c344f9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2691514676
0x3d4fcd5e5fcb60fca9dd4c5144aa970865325803,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,33331775
0x3a1bc767d7442355e96ba646ff83706f70518daa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,922123604762026
0x473812413b6a8267c62ab76095463546c1f65dc7,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,4476318
0x69e02d001146a86d4e2995f9ecf906265aa77d85,0xdac17f958d2ee523a2206206994597c13d831ec7,766147
0x951b928f2a8ba7ce14cc418cfebfee30a57294c3,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,734209064
0xe5a7a206e9a8769f90ca792ebb68e9268231f717,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,67515273425
0x682864c9bc8747c804a6137d6f0e8e087f49089e,0xdac17f958d2ee523a2206206994597c13d831ec7,7598
0x3b70dae598e7aba567d2513a7c7676f7536cadcb,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,2
0x8d98fff066733b1867e83d1e9563dbe2ad93d933,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,3080080
0x9a37cef306b26c46178f345ef7a51790c33933cb,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,1875000000
0xc5581f1ae61e34391824779d505ca127a4566737,0xdac17f958d2ee523a2206206994597c13d831ec7,68503
0x7003d82d2a6f07f07fc0d140e39ebb464024c91b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,769910
0xd2d038f866ef6441e598e0f685f885693ef59917,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6848127
