account,token,stem,season,amount_balance,bdv_balance
0x0000002e4f99cb1e699042699b91623b1334d2f7,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,7973,167,1
0x001f43cd9e84d90e1ee9db192724cef073d3fb2e,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,98625,1
0x001f43cd9e84d90e1ee9db192724cef073d3fb2e,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5386,427343,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,4470,10372559,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,3169,119624063,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,461713828,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,4994,11381984,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,2734,891022603,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5399,30340076,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5901,108609774,1
0x00427c81629cd592aa068b0290425261cbb8eba2,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,6096,661345860,1
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5504,11877406607,5
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5127,21460792839,7
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5218,663992004,7
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6009,2,4
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5239,897667250,7
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5152,19906342804,7
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,6033,24578632682,5
0x00427c81629cd592aa068b0290425261cbb8eba2,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,8291,102580879,1
0x00427c81629cd592aa068b0290425261cbb8eba2,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,6120,599296100,1
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,6015,45252653805,5
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5220,1143971014,7
0x00427c81629cd592aa068b0290425261cbb8eba2,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,7304,92724156,1
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5438,11706629456,5
0x0063886d458cc0790a170deba645a0bccc7f44d9,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5861,108572381,1
0x0063886d458cc0790a170deba645a0bccc7f44d9,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5766,181334111,1
0x0063886d458cc0790a170deba645a0bccc7f44d9,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5624,10645283012,2
0x0063886d458cc0790a170deba645a0bccc7f44d9,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,2101063760,1
0x0063886d458cc0790a170deba645a0bccc7f44d9,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5933,151306387,1
0x006b4b47c7f404335c87e85355e217305f97e789,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,1759081173,3
0x006b4b47c7f404335c87e85355e217305f97e789,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5881,9798069112,3
0x006b4b47c7f404335c87e85355e217305f97e789,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,10130,114569949,1
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5622,125704477,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,3861,5206817,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,3332,1144855890,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,1595,1687898985,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,1046881438,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,3165,62005,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,7094,53321844,1
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5130,44909616,3
0x008d63fab8179ee0ae2082bb57c72ed0c61f990f,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,6038,55369927823,1
0x008d63fab8179ee0ae2082bb57c72ed0c61f990f,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6049,627297561,1
0x008d63fab8179ee0ae2082bb57c72ed0c61f990f,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,1494634507,1
0x00975ae9c986df066c7bbda496103b4cc44b26c3,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,832063255,1
0x00975ae9c986df066c7bbda496103b4cc44b26c3,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,6023,14521654261,1
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5994,7523066025,7
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,6077,208538907,7
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5957,8913527932,7
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5758,10338210628,7
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5126,9910692242,7
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5946,4399671372,7
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,6107,93433698,1
