account,token,stem,season,amount_balance,bdv_balance
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16370,,8406132,1890704
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,25085418907,,422410318,422410318
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16758,,67839803,15258505
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-12924,,27684910,27684910
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32740000000,,48471721707,16804241945
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-16096,,418634713,418634713
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,21462,,706207107,706207107
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,5913,,118971529,118971529
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16272,,2631204413,591809594
0x2d9796333d7a9007faa67006437b4c16ef8276e6,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,25085418907,,422007495,422007495
0x2d9796333d7a9007faa67006437b4c16ef8276e6,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,5913,,113337804,113337804
0x2d9796333d7a9007faa67006437b4c16ef8276e6,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-16096,,417910231,417910231
0x2d9796333d7a9007faa67006437b4c16ef8276e6,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-12924,,27638992,27638992
0x2d9796333d7a9007faa67006437b4c16ef8276e6,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16272,,2626610063,590776234
0x2d9796333d7a9007faa67006437b4c16ef8276e6,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32740000000,,48469162214,16803354616
0x2d9796333d7a9007faa67006437b4c16ef8276e6,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,21462,,705368889,705368889
